FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg05d7q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:05:45,88.435623,78899.796875,122.6673583984375,189.5480194091797,2.474050521850586,0.5723676681518555,144.97743225097656,172.6390838623047,149.9601593017578,169.39453125,0.900625467300415
icdg05d8q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:07:32,88.435623,79144.546875,122.98358917236328,188.48129272460938,2.468625783920288,0.5374050140380859,144.98094177246094,172.63723754882812,149.98202514648438,169.3820343017578,0.9417083263397217
icdg06ddq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:11:33,88.435623,78412.8828125,121.12715911865234,189.67617797851562,2.66405987739563,0.7351016998291016,141.60057067871094,159.05218505859375,144.81640625,153.7453155517578,1.0063486099243164
icdg06deq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:13:20,88.435623,78902.796875,121.29090881347656,186.3827362060547,2.659882068634033,0.6865034103393555,141.59585571289062,159.04141235351562,144.8234405517578,153.73202514648438,1.006011724472046
icdg06dfq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:15:07,88.435623,78903.375,121.19242095947266,183.96339416503906,2.654951810836792,0.6510009765625,141.58790588378906,159.04310607910156,144.8195343017578,153.7273406982422,0.9678846001625061
icdg06dkq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:23:03,88.435623,78841.8125,122.77241516113281,192.23388671875,2.6732890605926514,0.6534824371337891,151.72976684570312,158.9949188232422,154.9148406982422,153.6882781982422,1.1568487882614136
icdg06dlq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:24:50,88.435623,78839.78125,122.95611572265625,197.41488647460938,2.6926143169403076,0.6405744552612305,151.72341918945312,158.98846435546875,154.90390014648438,153.68203735351562,1.09206223487854
icdg06dmq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:26:37,88.435623,78969.46875,123.23258972167969,198.86280822753906,2.69531512260437,0.5966930389404297,151.71478271484375,158.9805450439453,154.88827514648438,153.67031860351562,1.1537195444107056
icdg06dpq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:32:47,88.435623,79391.8828125,120.15058135986328,198.7186737060547,2.7020041942596436,0.5989141464233398,141.54466247558594,170.36253356933594,144.79922485351562,164.9757843017578,1.1490799188613892
icdg06dqq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:34:34,88.435623,79636.4609375,120.39117431640625,196.6885528564453,2.689668893814087,0.5862655639648438,141.54336547851562,170.35952758789062,144.8054656982422,164.93905639648438,0.9668965339660645
icdg06drq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:36:21,88.435623,79521.0859375,120.32683563232422,195.57479858398438,2.693190813064575,0.5837669372558594,141.54302978515625,170.36097717285156,144.79296875,164.9773406982422,0.8959177136421204
icdg06dvq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:44:17,88.435623,78405.6875,117.80217742919922,203.16903686523438,2.61938738822937,0.6005868911743164,151.68545532226562,170.33505249023438,154.8953094482422,164.9539031982422,1.066924810409546
icdg06dwq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:46:04,88.435623,78722.203125,117.86882781982422,199.36268615722656,2.5968565940856934,0.5629844665527344,151.68711853027344,170.34210205078125,154.9093780517578,164.94766235351562,0.8487955331802368
icdg06dxq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:47:51,88.435623,78840.40625,117.9017562866211,198.55422973632812,2.5936460494995117,0.5660133361816406,151.69126892089844,170.3441925048828,154.91561889648438,164.94375610351562,0.9377501606941223
