FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg04clq_flt.fits,F160W,4,1.0,3,7,2014-04-11,13:34:39,88.435623,59522.359375,53.16383743286133,3.2434542179107666,354.9517822265625,0.810213565826416,151.59716796875,170.4884490966797,154.80624389648438,165.1953125,50.787269592285156
icdg04cmq_flt.fits,F160W,4,1.0,3,7,2014-04-11,13:36:26,88.435623,59778.453125,53.42074203491211,3.2292697429656982,358.2428283691406,0.7911229133605957,151.6128387451172,170.50706481933594,154.8054656982422,165.18203735351562,51.650054931640625
icdg05crq_flt.fits,F160W,5,0.0,0,1,2014-04-11,14:36:41,88.435623,60320.76171875,53.92335891723633,3.2550745010375977,350.9856262207031,0.8188738822937012,134.75787353515625,161.56851196289062,139.70938110351562,158.31094360351562,48.334251403808594
icdg05ctq_flt.fits,F160W,5,0.0,0,1,2014-04-11,14:38:28,88.435623,60526.67578125,54.01520538330078,3.2810535430908203,358.6575622558594,0.8177905082702637,134.75860595703125,161.56263732910156,139.7062530517578,158.29531860351562,47.655052185058594
icdg05cuq_flt.fits,F160W,5,0.0,0,1,2014-04-11,14:40:15,88.435623,60459.69140625,54.15865707397461,3.281388998031616,362.38189697265625,0.7695169448852539,134.75253295898438,161.56007385253906,139.71249389648438,158.3054656982422,47.56270980834961
icdg05cyq_flt.fits,F160W,5,0.0,1,3,2014-04-11,14:48:11,88.435623,60058.7734375,53.7224235534668,3.315499782562256,360.05902099609375,0.7788629531860352,144.88418579101562,161.50929260253906,149.82968139648438,158.2453155517578,49.326385498046875
icdg05czq_flt.fits,F160W,5,0.0,1,3,2014-04-11,14:49:58,88.435623,60738.95703125,54.244686126708984,3.261402130126953,350.2349548339844,0.7793946266174316,144.87042236328125,161.50375366210938,149.8210906982422,158.23046875,48.30016326904297
icdg05d3q_flt.fits,F160W,5,0.0,2,5,2014-04-11,14:57:55,88.435623,61245.8671875,52.86636734008789,3.3191463947296143,340.0740051269531,0.6632571220397949,134.69247436523438,172.87196350097656,139.66641235351562,169.62344360351562,43.80775833129883
icdg05d4q_flt.fits,F160W,5,0.0,2,5,2014-04-11,14:59:42,88.435623,61400.875,53.08064270019531,3.321789026260376,343.8024597167969,0.6410179138183594,134.68948364257812,172.8767547607422,139.67031860351562,169.61874389648438,44.97358703613281
icdg05d5q_flt.fits,F160W,5,0.0,2,5,2014-04-11,15:01:29,88.435623,61451.41015625,52.80132293701172,3.3453385829925537,348.5835876464844,0.6214327812194824,134.69297790527344,172.8771514892578,139.6750030517578,169.6242218017578,44.95237350463867
icdg05d9q_flt.fits,F160W,5,0.0,3,7,2014-04-11,15:09:25,88.435623,60314.4453125,51.83622741699219,3.2831363677978516,357.4997253417969,0.7120857238769531,144.83639526367188,172.8344268798828,149.8093719482422,169.58749389648438,50.703426361083984
icdg05daq_flt.fits,F160W,5,0.0,3,7,2014-04-11,15:11:12,88.435623,60438.6796875,52.044708251953125,3.28151535987854,357.3861083984375,0.7242364883422852,144.836669921875,172.83676147460938,149.8203125,169.5906219482422,52.323036193847656
icdg05dbq_flt.fits,F160W,5,0.0,3,7,2014-04-11,15:12:59,88.435623,60391.0703125,52.18941879272461,3.3021035194396973,362.641357421875,0.70196533203125,144.83920288085938,172.8406524658203,149.81094360351562,169.59609985351562,53.236732482910156
icdg06dgq_flt.fits,F160W,6,1.0,0,1,2014-04-11,16:17:00,88.435623,59463.6875,54.138248443603516,3.3234825134277344,353.09893798828125,0.8149151802062988,141.47003173828125,159.20834350585938,144.6999969482422,153.92578125,55.856773376464844
icdg06diq_flt.fits,F160W,6,1.0,0,1,2014-04-11,16:18:47,88.435623,59623.88671875,53.129791259765625,3.315094232559204,348.4181213378906,0.8104391098022461,141.4673614501953,159.20001220703125,144.68515014648438,153.91952514648438,57.00078582763672
icdg06djq_flt.fits,F160W,6,1.0,0,1,2014-04-11,16:20:34,88.435623,59423.58203125,53.051719665527344,3.340897560119629,354.7491760253906,0.805260181427002,141.46347045898438,159.1968536376953,144.67813110351562,153.92422485351562,56.903804779052734
icdg06dnq_flt.fits,F160W,6,1.0,1,3,2014-04-11,16:28:30,88.435623,60198.046875,51.15769577026367,3.320530414581299,350.5013427734375,0.7887396812438965,151.57669067382812,159.1336212158203,154.79843139648438,153.84530639648438,54.25746154785156
icdg06doq_flt.fits,F160W,6,1.0,1,3,2014-04-11,16:30:17,88.435623,60123.02734375,51.26072692871094,3.3256514072418213,354.5671081542969,0.738121509552002,151.5743408203125,159.125732421875,154.78750610351562,153.83749389648438,53.369815826416016
icdg06dsq_flt.fits,F160W,6,1.0,2,5,2014-04-11,16:38:14,88.435623,62051.30078125,54.15504455566406,3.3254990577697754,335.88018798828125,0.6217260360717773,141.4285888671875,170.49183654785156,144.64999389648438,165.1570281982422,40.826194763183594
icdg06dtq_flt.fits,F160W,6,1.0,2,5,2014-04-11,16:40:01,88.435623,62072.390625,54.316246032714844,3.349228858947754,338.3031005859375,0.6222429275512695,141.4324951171875,170.4952392578125,144.6437530517578,165.1726531982422,39.199493408203125
icdg06duq_flt.fits,F160W,6,1.0,2,5,2014-04-11,16:41:48,88.435623,62042.68359375,54.487823486328125,3.3558766841888428,340.14361572265625,0.5914177894592285,141.43362426757812,170.49505615234375,144.64999389648438,165.1570281982422,40.83143615722656
icdg06dyq_flt.fits,F160W,6,1.0,3,7,2014-04-11,16:49:44,88.435623,59353.55078125,53.1627197265625,3.2289154529571533,351.7525634765625,0.8335018157958984,151.5740203857422,170.48228454589844,154.7820281982422,165.171875,49.31858825683594
icdg06dzq_flt.fits,F160W,6,1.0,3,7,2014-04-11,16:51:31,88.435623,59325.16015625,53.41715621948242,3.260852813720703,364.0289001464844,0.8534331321716309,151.57737731933594,170.48553466796875,154.79061889648438,165.1750030517578,50.64546203613281
icdg06e0q_flt.fits,F160W,6,1.0,3,7,2014-04-11,16:53:18,88.435623,59391.16796875,53.28526306152344,3.2602007389068604,357.1533508300781,0.8190751075744629,151.57839965820312,170.48519897460938,154.7703094482422,165.1875,50.5953369140625
