FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX_FIT,X_FIT,Y_FIT,SKYY_FIT
icdg08rwq_noramp.fits,F160W,8,129.0,2,9,2013-10-16,18:00:49,14.970785,16.003921508789062,19.725196838378906,129.0615234375,233.69078063964844,7.0,1.02261483669281,-0.18426178395748138,2.4195525646209717,8437.552734375,13.018704414367676,13.572444915771484,1.2748887538909912
icdg08rxq_noramp.fits,F160W,8,129.0,2,9,2013-10-16,18:01:22,14.970785,16.026100158691406,19.720252990722656,129.09791564941406,233.7394561767578,7.0,1.025217056274414,-0.1992052048444748,2.448254346847534,8290.36328125,13.08761215209961,13.608773231506348,0.987072229385376
icdg08ryq_noramp.fits,F160W,8,129.0,2,9,2013-10-16,18:01:55,14.970785,16.010032653808594,19.702133178710938,129.0738525390625,233.70596313476562,7.0,1.0258026123046875,-0.16890652477741241,2.4136765003204346,8302.3701171875,13.045456886291504,13.586678504943848,1.2305370569229126
icdg08rzq_noramp.fits,F125W,8,129.0,3,10,2013-10-16,18:03:10,29.663755,26.088943481445312,19.620956420898438,139.33668518066406,233.48092651367188,253.0,1.0109424591064453,-0.3243749737739563,1.7497862577438354,8700.140625,13.282571792602539,13.474796295166016,-0.6055710315704346
icdg08s0q_noramp.fits,F125W,8,129.0,3,10,2013-10-16,18:03:58,29.663755,26.07396697998047,19.610946655273438,139.32931518554688,233.48753356933594,280.0,1.0068358182907104,-0.3198087811470032,1.8262628316879272,8646.1162109375,13.286495208740234,13.488130569458008,-0.2910507321357727
icdg08s1q_noramp.fits,F125W,8,129.0,3,10,2013-10-16,18:04:46,29.663755,25.963340759277344,19.386558532714844,139.3559112548828,233.50704956054688,280.0,1.0059093236923218,-0.28596624732017517,1.827097773551941,8793.0615234375,13.30318546295166,13.497875213623047,0.037745095789432526
icdg08s2q_noramp.fits,F125W,8,129.0,3,10,2013-10-16,18:05:34,29.663755,26.093826293945312,19.633499145507812,139.3414306640625,233.48947143554688,253.0,1.012325406074524,-0.3346055746078491,1.7938363552093506,8727.4189453125,13.305065155029297,13.484917640686035,-0.20191951096057892
icdg08s3q_noramp.fits,F160W,8,129.0,3,11,2013-10-16,18:06:28,14.970785,26.143569946289062,19.71691131591797,139.23046875,233.70751953125,13.0,1.0260552167892456,-0.2593732476234436,2.472486734390259,8583.9482421875,13.24952507019043,13.615608215332031,1.0857317447662354
icdg08s4q_noramp.fits,F160W,8,129.0,3,11,2013-10-16,18:07:01,14.970785,26.13995361328125,19.718612670898438,139.22927856445312,233.6939239501953,13.0,1.0232433080673218,-0.18928880989551544,2.4368791580200195,8555.1015625,13.247903823852539,13.603472709655762,0.7210690975189209
icdg08s5q_noramp.fits,F160W,8,129.0,3,11,2013-10-16,18:07:34,14.970785,26.135711669921875,19.71502685546875,139.21836853027344,233.6998291015625,13.0,1.0263445377349854,-0.2697613537311554,2.4879531860351562,8616.9853515625,13.242856979370117,13.607075691223145,0.7701684832572937
icdg08s6q_noramp.fits,F160W,8,129.0,3,11,2013-10-16,18:08:07,14.970785,26.139053344726562,19.718902587890625,139.22555541992188,233.70407104492188,13.0,1.0279748439788818,-0.3036307692527771,2.4702842235565186,8551.8671875,13.247159957885742,13.604818344116211,0.7046458125114441
icdg08s7q_noramp.fits,F160W,8,129.0,3,11,2013-10-16,18:08:40,14.970785,26.146514892578125,19.73328399658203,139.24142456054688,233.72360229492188,13.0,1.0260423421859741,-0.26698383688926697,2.4868199825286865,8591.8701171875,13.260025978088379,13.619399070739746,0.8667543530464172
icdg08s8q_noramp.fits,F125W,8,129.0,3,12,2013-10-16,18:09:19,29.663755,26.08501434326172,19.631431579589844,139.34530639648438,233.4945068359375,253.0,1.0118906497955322,-0.3066190183162689,1.781530737876892,8711.1484375,13.301992416381836,13.485976219177246,-0.14922726154327393
icdg08s9q_noramp.fits,F125W,8,129.0,3,12,2013-10-16,18:10:07,29.663755,26.098594665527344,19.625389099121094,139.33787536621094,233.49966430664062,253.0,1.0137494802474976,-0.31435713171958923,1.7819832563400269,8780.3330078125,13.287769317626953,13.497207641601562,-0.6686937808990479
